(0, 194, 96, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(1, 420, 124, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(10, 209, 193, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(2, 1136, 375, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(3, 405, 103, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(4, 120, 12, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(5, 1060, 415, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(6, 388, 84, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(11, 1344, 56, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(12, 393, 60, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(7, 1068, 429, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(8, 1039, 401, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(13, 1050, 397, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(9, 422, 144, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
(14, 1169, 421, [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 0], [0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60], [5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 60])
